kenpo_grade,kosei_nenkin_grade,standard_remuneration,salary_lower,salary_upper,pension_standard_remuneration
1,1,58000,0,63000,88000
2,1,68000,63000,73000,88000
3,1,78000,73000,83000,88000
4,1,88000,83000,93000,88000
5,2,98000,93000,101000,98000
6,3,104000,101000,107000,104000
7,4,110000,107000,114000,110000
8,5,118000,114000,122000,118000
9,6,126000,122000,130000,126000
10,7,134000,130000,138000,134000
11,8,142000,138000,146000,142000
12,9,150000,146000,155000,150000
13,10,160000,155000,165000,160000
14,11,170000,165000,175000,170000
15,12,180000,175000,185000,180000
16,13,190000,185000,195000,190000
17,14,200000,195000,210000,200000
18,15,220000,210000,230000,220000
19,16,240000,230000,250000,240000
20,17,260000,250000,270000,260000
21,18,280000,270000,290000,280000
22,19,300000,290000,310000,300000
23,20,320000,310000,330000,320000
24,21,340000,330000,350000,340000
25,22,360000,350000,370000,360000
26,23,380000,370000,395000,380000
27,24,410000,395000,425000,410000
28,25,440000,425000,455000,440000
29,26,470000,455000,485000,470000
30,27,500000,485000,515000,500000
31,28,530000,515000,545000,530000
32,29,560000,545000,575000,560000
33,30,590000,575000,605000,590000
34,31,620000,605000,635000,620000
35,32,650000,635000,665000,650000
36,32,680000,665000,695000,650000
37,32,710000,695000,730000,650000
38,32,750000,730000,770000,650000
39,32,790000,770000,810000,650000
40,32,830000,810000,855000,650000
41,32,880000,855000,905000,650000
42,32,930000,905000,955000,650000
43,32,980000,955000,1005000,650000
44,32,1030000,1005000,1055000,650000
45,32,1090000,1055000,1115000,650000
46,32,1150000,1115000,1175000,650000
47,32,1210000,1175000,1235000,650000
48,32,1270000,1235000,1295000,650000
49,32,1330000,1295000,1355000,650000
50,32,1390000,1355000,999999999,650000
